#calibration 2016-04-26@09:04:14
#3mA
3 3624
3 3637
3 3636
3 3639
3 3634
3 3637
3 3626
3 3630
3 3639
3 3632
3 3637
3 3624
3 3626
3 3636
3 3638
3 3633
3 3633
#2mA
2 2425
2 2419
2 2417
2 2416
2 2414
2 2416
2 2429
2 2418
2 2431
2 2425
2 2421
2 2425
2 2419
2 2416
2 2424
2 2414
#1mA
1 1207
1 1206
1 1192
1 1199
1 1206
1 1205
1 1195
1 1199
1 1199
1 1198
1 1202
1 1201
1 1203
1 1203
1 1204
1 1203
1 1202
1 1196
1 1197
1 1199
#0.1mA
0.1 113
0.1 100
0.1 106
0.1 105
0.1 114
0.1 102
0.1 103
0.1 105
0.1 102
0.1 108
0.1 109
0.1 108
0.1 104
0.1 113
0.1 107
0.1 101
0.1 104


